src,Y111,Y112,Y113,Y114,Y121,Y122,Y123,Y211,Y212,Y213,Y214,Y221,Y222,Y223,Y224,Y231,Y232,Y233,Y234,Y311,Y312,Y313,Y314,Y321,Y322,Y323,Y324,Y331,Y332,Y333,Y334,Y411,Y412,Y413,Y414,Y421,Y422,Y423,Y511,Y512,Y513,Y514,Y521,Y522,Y523,Y524,Y531,Y532,Y533,Y534,Y611,Y612,Y613,Y621,Y622,Y623,Y624,Y711,Y712,Y713,Y714,Y721,Y722,Y723,Y724,Y731,Y732,Y733,Y734,Y811,Y812,Y813,Y814,Y821,Y822,Y823,Y911,Y912,Y913,Y921,Y922,Y923,Y924,label
7414,0,0,0,0,0,45,0,0,0,0,0,0,100,10,0,0,0,0,0,0,100,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7415,0,0,0,0,28,1,7,7,0,0,0,64,3,16,15,0,11,1,0,72,3,18,15,0,0,0,0,1,0,0,0,8,10,4,0,28,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0
7416,0,0,0,0,45,0,0,7,0,0,0,100,0,0,10,0,0,0,0,100,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,45,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7417,0,0,0,0,21,6,13,10,0,0,0,56,7,32,14,0,19,0,0,56,7,32,14,0,0,0,0,0,0,0,0,8,19,10,0,28,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7418,0,0,0,0,45,6,10,0,0,0,0,100,0,40,0,0,35,4,0,100,0,40,0,0,0,0,0,0,0,0,0,10,19,21,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7419,0,0,0,0,0,45,0,10,0,0,0,2,108,20,11,9,11,1,1,2,108,20,11,0,0,0,0,0,0,0,0,9,17,7,2,1,55,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7420,0,0,0,0,0,45,0,1,0,0,0,0,20,90,0,0,12,0,0,0,20,90,0,0,0,0,0,0,0,0,0,0,28,0,0,36,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7421,0,0,0,0,1,28,7,54,0,0,0,12,32,48,8,19,72,1,2,12,32,48,8,0,0,0,0,0,0,0,0,18,71,16,4,15,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7422,0,0,0,0,45,0,10,0,0,0,0,90,1,9,10,0,10,0,0,90,1,9,10,0,0,0,0,0,0,0,0,10,7,4,0,36,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7423,0,0,0,0,45,0,0,11,0,0,0,80,2,8,20,13,10,1,3,80,2,8,20,0,0,0,0,0,0,0,0,18,5,5,5,28,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
